"CD_GEOCMU","areamunic","precclimme","prec2010me","temp2010me","tempclimme"
3509007,11979.7227461,1561.7894400439,1547.9332040067,21.3670781832,20.9014917386
3509106,63648.8923646,1300.0524695049,1431.1414677193,23.9422365965,23.7105347575
3509205,16114.0913537,1549.3767089844,1471.3543701172,21.432800293,20.9166870117
3509254,54588.192891,1699.2707028292,2028.6137811451,19.8172822871,20.603718333
3509304,21280.6496938,1348.5954676367,1118.2285036188,24.0995330811,23.7706680991
3509403,81256.5170562,1585.6937257086,1355.6400805944,22.4774807062,22.2181637246
3509452,22224.7576609,1362.3999708636,1401.3955793934,20.8608279373,21.0630020047
3509502,97885.4387723,1439.4586791992,1254.6889648438,21.8017921448,20.7911758423
3509601,9818.23786206,1493.3501041959,1514.628638576,21.2669574546,20.7458082146
3509700,36692.9387389,1589.7313975578,1291.6258080275,16.9386636147,17.3138225797
3509809,57149.0048319,1402.3513968679,1145.0432742762,22.4531777843,22.4482523912
3509908,149702.443865,,,,
3509957,6655.85776991,1479.9537174144,1480.57952997,18.6218690058,19.1893431651
3510005,70029.7253159,1412.4270542605,1137.9338359585,22.2491591063,22.3315180654
3510104,8479.39957972,1364.4340820313,1163.3033447266,23.6903038025,23.2726860046
3510153,6802.81572339,1433.0339497959,1122.5305895132,22.3211890481,21.8286474118
3510203,197232.254438,1497.1754760742,1724.1591796875,20.6593074799,20.893204689
3510302,20632.9801892,1272.9882534351,1258.0982256341,21.5100649857,21.3813807057
3510401,39431.6259849,1322.3707018585,1223.2890548488,21.9464958647,21.3585071313
3510500,60819.8558671,,,,
3510609,4198.40619214,1503.7784423828,1648.1276855469,21.5137634277,20.9338207245
3510708,75898.1396066,1353.0661587031,1165.0252703414,24.8502268388,24.5850758047
3510807,106502.801075,1477.8251953125,1182.9931030273,22.4728212357,21.6948251724
3510906,23763.1194431,1582.9144556144,1359.4716493036,22.328885271,21.9062260461
3511003,123623.074349,1253.6778340886,1242.6754393764,25.044398338,24.4132351078
3511102,34886.0832235,1384.1063788925,1043.773902327,24.0834779942,23.7289428355
3511201,17891.4196035,1402.9849352881,1071.3826356054,24.1103642309,23.7542697806
3511300,23504.7786988,1419.6172184859,1144.7944043997,24.2572471186,23.9214479274
3511409,60523.6632705,1457.707950363,1291.8969789599,21.395751473,21.3549762311
3511508,15621.2162716,1239.7742077976,1135.6101131885,21.6140101752,21.3929836991
3511607,23121.9446832,1245.9879289943,1116.8960146826,21.5638082791,21.3889632256
3511706,21484.7597805,1401.5258446778,1336.7176284658,22.1109742645,21.6387122344
3511904,19815.323702,1324.0113358538,1264.524580373,23.9636945262,23.7402896
3512001,51029.2776575,1379.086313884,1232.1213105494,23.9621197202,23.5667132182
3512100,88281.3074825,1413.8644345833,1270.9963057087,24.6609119057,24.0985625506
3512209,22460.0952623,1422.8153076172,1227.6573486328,22.2572746277,21.1756401062
3512308,56477.2176489,1311.9344550742,1181.4042360816,21.7885473306,21.5034205875
3512407,16951.9724378,1446.5422253645,1289.284336727,22.1951354008,21.4640734832
3512506,29154.6756077,1311.6062016482,1257.4953732438,24.2902626363,24.0118806461
3512605,36068.5169408,1431.448555487,1376.4458928561,21.2046709471,20.7132426581
3512704,34121.8927338,1482.4776362571,1260.7158423644,22.0289063177,21.6293396272
3512803,19020.9209829,1421.1239504741,1082.1464349546,22.2429953237,21.135321458
3512902,52766.9309573,1373.6690639514,1092.0923699792,24.8192044436,24.5081719246
3513009,39883.9749862,1507.0017193491,1660.02708079,21.6019303723,21.0029609523
3513108,38218.8897728,1504.0528218122,1326.6719962586,22.6915347576,22.574343378
3513207,47534.1319846,1669.7287871729,1486.0178497267,22.5429817576,21.8884192656
3513306,17427.4507731,1396.5867744929,1266.9105511402,22.5329573394,22.632144313
3513405,38928.4748203,1508.8075193664,1559.6284578738,19.5148783778,19.8630507829
3513504,17511.3281546,,,,
3513603,178854.737894,1471.8299258759,1815.5587403871,20.709520837,19.6578803186
3513702,92199.5494014,1502.3573015173,1247.9992312929,22.0556727449,21.8260438275
3513801,3847.45516735,,,,
